Species,Model,Residual DF,Residual SS,DF,SS,P-value
Sporobolus_indicus,Reduced model,50,9.186533980020025,NA,NA,NA
Sporobolus_indicus,Full model,48,8.578376553983174,2,0.6081574260368505,0.182
