Species,Model,Residual DF,Residual SS,DF,SS,P-value
Sporobolus_indicus,Reduced model,50,6.655633746753784,NA,NA,NA
Sporobolus_indicus,Full model,48,6.451843701991041,2,0.20379004476274343,0.469
