Species,Term,Estimate,SE,t,P-value
Sporobolus_indicus,(Intercept),3.8891263626363157,0.19268329580888063,20.184034876037597,4.272594652604498e-25
Sporobolus_indicus,"bs(N, df = 2, degree = 1)1",1.8638741740518971,0.2864289181276496,6.50728350417902,4.191492350044053e-8
Sporobolus_indicus,"bs(N, df = 2, degree = 1)2",2.372487570738536,0.2675517582851181,8.8673966710033,1.1123123855869184e-11
Sporobolus_indicus,M1,-0.4356105790217408,0.27249533017566563,-1.5985983273215068,0.11647262771499946
Sporobolus_indicus,I1,-0.13302318125049029,0.27249533017566513,-0.48816682900487285,0.6276543568346336
Sporobolus_indicus,"bs(N, df = 2, degree = 1)1:M1",0.2669537980320156,0.40507166067197464,0.6590285718560639,0.5130267148970413
Sporobolus_indicus,"bs(N, df = 2, degree = 1)2:M1",-0.2564199755893161,0.378375325203582,-0.6776868323835632,0.5012239698538788
Sporobolus_indicus,"bs(N, df = 2, degree = 1)1:I1",-0.52452141938175,0.4050716606719739,-1.2948854988068548,0.20155385555943273
Sporobolus_indicus,"bs(N, df = 2, degree = 1)2:I1",-0.04777728996095205,0.3783753252035818,-0.12626957092206226,0.9000459800127956
Sporobolus_indicus,M1:I1,0.042209048997300394,0.3853665916177605,0.10952960094466864,0.913239084401213
Sporobolus_indicus,"bs(N, df = 2, degree = 1)1:M1:I1",0.6637680224187172,0.5728578362552982,1.1586958934832556,0.25231245902487287
Sporobolus_indicus,"bs(N, df = 2, degree = 1)2:M1:I1",0.09317051661877403,0.535103516570236,0.17411680868022245,0.8625059506865904
