Species,Model,Residual DF,Residual SS,DF,SS,P-value
Phytolacca_americana,Reduced model,50,6.600006589844473,NA,NA,NA
Phytolacca_americana,Full model,48,6.341976574462005,2,0.2580300153824684,0.377
