species,model,RMSE,Rsquared,MAE,AIC
Erigeron_canadensis,m2,0.3634475766751475,0.8544527850913876,0.2911157023559806,50.45430858451223
Erigeron_canadensis,m5,0.4014322097641517,0.8246342595508269,0.32796509600407564,54.090818737823454
Erigeron_canadensis,m4,0.419429322228195,0.8075449895098482,0.3340136339078191,63.67832709607505
Erigeron_canadensis,m3,0.4452270848114981,0.7836142898370176,0.36227132831440645,72.2645781393511
Erigeron_canadensis,m1,0.47376602300323073,0.7523383005206183,0.4019239881325647,82.26835817413041
Phytolacca_americana,m2,0.401995445832442,0.8223277487894327,0.32984006574491676,61.44337919491871
Phytolacca_americana,m4,0.41966330537352003,0.8073685269316164,0.3474547447268631,65.06446653533204
Phytolacca_americana,m3,0.43169736146469223,0.7965717404581782,0.35053019836457106,69.04984456548156
Phytolacca_americana,m5,0.4542027733599145,0.7772641268761461,0.374615964176723,68.91142581595012
Phytolacca_americana,m1,0.4550351709815751,0.7716967014849574,0.3773501718932688,77.51553726363784
Solidago_gigantea,m2,0.4208632623598553,0.8327412837196699,0.3163163427798189,64.42447485834167
Solidago_gigantea,m4,0.428048839499687,0.8283745482709124,0.327743061852421,61.75659329105509
Solidago_gigantea,m3,0.4433340410152726,0.8164759449434051,0.33603834395644355,65.94753866210937
Solidago_gigantea,m5,0.44761000255898264,0.8135943043240639,0.3429325403258442,67.15685632749563
Solidago_gigantea,m1,0.5784871496061179,0.6848208624137342,0.446278119550453,102.83871181797059
Sporobolus_indicus,m2,0.4120315860863437,0.8087576414474418,0.31919448362123953,62.47390636513276
Sporobolus_indicus,m4,0.43790227161457923,0.7852765864675307,0.3417147031669748,66.69968660385086
Sporobolus_indicus,m3,0.4612210006358738,0.7625612218565234,0.36740649877136217,73.71485041393322
Sporobolus_indicus,m5,0.4677408183771618,0.7577278705836676,0.3624975218315021,72.4358978085522
Sporobolus_indicus,m1,0.5406314481584265,0.6701828376720175,0.4071849613142812,96.11460382861937
