Species,Term,Sum Sq,df,F,P-value
Sporobolus_indicus,(Intercept),54.75938682221791,1,407.3952638771022,4.272594652604498e-25
Sporobolus_indicus,N,11.525354313229549,2,42.87278432243294,2.0848943829785642e-11
Sporobolus_indicus,M,0.343495703316842,1,2.55551661211512,0.11647262771499946
Sporobolus_indicus,I,0.03203163683930388,1,0.23830685294067303,0.6276543568346333
Sporobolus_indicus,N:M,0.2257470198399929,2,0.839748872789317,0.438063411047539
Sporobolus_indicus,N:I,0.2649893534377652,2,0.9857251316462837,0.38059476418397453
Sporobolus_indicus,M:I,0.0016125218618210369,1,0.01199673348310093,0.9132390844012037
Sporobolus_indicus,N:M:I,0.20379004476274343,2,0.758071847400223,0.47409584273066
Sporobolus_indicus,Residuals,6.451843701991041,48,NA,NA
