Species,Model,Residual DF,Residual SS,DF,SS,P-value
Phytolacca_americana,Reduced model,47,16.930154112396718,NA,NA,NA
Phytolacca_americana,Full model,44,15.779421880772523,3,1.150732231624195,0.361
