Species,Term,Estimate,SE,t,P-value
Phytolacca_americana,(Intercept),3.9020139185698888,0.34324562226944416,11.367993254424814,1.1076343019742214e-14
Phytolacca_americana,"bs(N, df = 3, degree = 2)1",0.9542276925403322,0.7130829808763568,1.338172019429795,0.1877150993144303
Phytolacca_americana,"bs(N, df = 3, degree = 2)2",2.544810421920718,0.6267473052556491,4.060345215018825,1.981983537197194e-4
Phytolacca_americana,"bs(N, df = 3, degree = 2)3",2.2819748402656277,0.48896018294366633,4.666995227561375,2.8716754242943788e-5
Phytolacca_americana,M1,0.007479972056721451,0.48542261423864,0.01540919569322784,0.9877753879636872
Phytolacca_americana,P1,-1.1566600205300648,0.485422614238639,-2.382789731261754,0.021566871601577085
Phytolacca_americana,"bs(N, df = 3, degree = 2)1:M1",0.3284005593876551,1.0084516226527775,0.32564830281474744,0.7462341063885665
Phytolacca_americana,"bs(N, df = 3, degree = 2)2:M1",-0.8040822595897987,0.8863545392733287,-0.9071790394947598,0.36925384076815615
Phytolacca_americana,"bs(N, df = 3, degree = 2)3:M1",-0.30413034605263856,0.6914941221793623,-0.4398162418129016,0.6622230441748373
Phytolacca_americana,"bs(N, df = 3, degree = 2)1:P1",3.5565635227038848,1.0084516226527764,3.526756705837993,9.97197389326608e-4
Phytolacca_americana,"bs(N, df = 3, degree = 2)2:P1",1.2444567218921576,0.886354539273328,1.4040168654322203,0.16733315978496877
Phytolacca_americana,"bs(N, df = 3, degree = 2)3:P1",1.6206012682503041,0.6914941221793621,2.343622622767496,0.023679659962402927
Phytolacca_americana,M1:P1,0.21385008954946785,0.6864912445388869,0.3115117508790808,0.7568828651444065
Phytolacca_americana,"bs(N, df = 3, degree = 2)1:M1:P1",-1.9008395416830985,1.4261659617527107,-1.332831937278204,0.18944786568201583
Phytolacca_americana,"bs(N, df = 3, degree = 2)2:M1:P1",0.9477699480046197,1.2534946105112967,0.756102132435996,0.45361721846015957
Phytolacca_americana,"bs(N, df = 3, degree = 2)3:M1:P1",0.31171523375958266,0.977920365887332,0.3187531875120964,0.7514219334146104
