Species,Term,Estimate,SE,t,P-value
Erigeron_canadensis,(Intercept),3.8891263626363175,0.1743185847420349,22.310451684722175,5.495854813428076e-27
Erigeron_canadensis,"bs(N, df = 2, degree = 1)1",1.8638741740518954,0.25912927961710125,7.192835085274898,3.724842986100059e-9
Erigeron_canadensis,"bs(N, df = 2, degree = 1)2",2.3724875707385347,0.2420513083592129,9.801589534139916,4.86126791798424e-13
Erigeron_canadensis,M1,-0.5413409091555232,0.24652370671586915,-2.195897978199093,0.03296442614557402
Erigeron_canadensis,I1,-0.010139847592386715,0.24652370671586868,-0.04113132861527761,0.9673618133433
Erigeron_canadensis,"bs(N, df = 2, degree = 1)1:M1",0.3385240054665183,0.3664641416424744,0.9237575167634963,0.36023319373220253
Erigeron_canadensis,"bs(N, df = 2, degree = 1)2:M1",0.16622507916224027,0.3423122430717509,0.48559489917922216,0.6294636911718625
Erigeron_canadensis,"bs(N, df = 2, degree = 1)1:I1",-0.055144268454076883,0.36646414164247365,-0.15047657379770657,0.8810192050563168
Erigeron_canadensis,"bs(N, df = 2, degree = 1)2:I1",-0.21177353628191706,0.3423122430717507,-0.6186560386551178,0.5390679380809633
Erigeron_canadensis,M1:I1,0.05398932029557862,0.3486371694840691,0.1548581878847707,0.8775824645251699
Erigeron_canadensis,"bs(N, df = 2, degree = 1)1:M1:I1",-0.3224868025499265,0.5182585592342016,-0.6222507989572718,0.5367218010019148
Erigeron_canadensis,"bs(N, df = 2, degree = 1)2:M1:I1",-0.06931544784740909,0.4841026167184255,-0.1431833777666314,0.8867447556601534
