Repetition_nr;Nitrogen_level;Soil_conditioning;Setup_IAN;Invasive_species;Species;Status;Shoot_dry_weight;Root_dry_weight
2;32;C;A;Solidago_gigantea;Plantago;N;277,1;197,3
2;32;C;A;Solidago_gigantea;Ranunculus;N;75,2;38,6
3;32;C;A;Solidago_gigantea;Invasive;I;321;88,7
3;32;C;A;Solidago_gigantea;Agrostis;N;123,1;32,8
3;32;C;A;Solidago_gigantea;Centaurea;N;232,2;145
3;32;C;A;Solidago_gigantea;Plantago;N;302,1;113,4
3;32;C;A;Solidago_gigantea;Ranunculus;N;33,7;8,9
1;64;C;A;Solidago_gigantea;Invasive;I;306,8;59
1;64;C;A;Solidago_gigantea;Agrostis;N;75,3;51,9
1;64;C;A;Solidago_gigantea;Centaurea;N;174,3;65,7
1;64;C;A;Solidago_gigantea;Plantago;N;563,5;197,6
1;64;C;A;Solidago_gigantea;Ranunculus;N;68,1;31,9
2;64;C;A;Solidago_gigantea;Invasive;I;400,3;116,8
2;64;C;A;Solidago_gigantea;Agrostis;N;82,6;25,4
2;64;C;A;Solidago_gigantea;Centaurea;N;313;409,8
2;64;C;A;Solidago_gigantea;Plantago;N;743,2;340,6
2;64;C;A;Solidago_gigantea;Ranunculus;N;182,8;103,5
3;64;C;A;Solidago_gigantea;Invasive;I;352,3;128
3;64;C;A;Solidago_gigantea;Agrostis;N;168,6;69
3;64;C;A;Solidago_gigantea;Centaurea;N;478,1;307,2
3;64;C;A;Solidago_gigantea;Plantago;N;551,6;268,7
3;64;C;A;Solidago_gigantea;Ranunculus;N;35,9;11,9
1;4;T;A;Solidago_gigantea;Invasive;I;30,3;8
1;4;T;A;Solidago_gigantea;Agrostis;N;8,8;11,8
1;4;T;A;Solidago_gigantea;Centaurea;N;20;4,6
1;4;T;A;Solidago_gigantea;Plantago;N;18,4;12,2
1;4;T;A;Solidago_gigantea;Ranunculus;N;5,9;2,8
2;4;T;A;Solidago_gigantea;Invasive;I;62,6;22,2
2;4;T;A;Solidago_gigantea;Agrostis;N;1,6;2
2;4;T;A;Solidago_gigantea;Centaurea;N;13,7;6,1
2;4;T;A;Solidago_gigantea;Plantago;N;0;0
2;4;T;A;Solidago_gigantea;Ranunculus;N;0;0
3;4;T;A;Solidago_gigantea;Invasive;I;40,8;13,2
3;4;T;A;Solidago_gigantea;Agrostis;N;0,5;0,1
3;4;T;A;Solidago_gigantea;Centaurea;N;67,7;36,2
3;4;T;A;Solidago_gigantea;Plantago;N;5,7;8
3;4;T;A;Solidago_gigantea;Ranunculus;N;0;0
1;8;T;A;Solidago_gigantea;Invasive;I;92,3;28,8
1;8;T;A;Solidago_gigantea;Agrostis;N;0;0
1;8;T;A;Solidago_gigantea;Centaurea;N;155,7;141
1;8;T;A;Solidago_gigantea;Plantago;N;139,7;60,8
1;8;T;A;Solidago_gigantea;Ranunculus;N;0;11,9
2;8;T;A;Solidago_gigantea;Invasive;I;205,9;82,9
2;8;T;A;Solidago_gigantea;Agrostis;N;9,4;5,4
2;8;T;A;Solidago_gigantea;Centaurea;N;63,8;46,7
2;8;T;A;Solidago_gigantea;Plantago;N;139,9;57,4
2;8;T;A;Solidago_gigantea;Ranunculus;N;0;0
3;8;T;A;Solidago_gigantea;Invasive;I;121,7;17,6
3;8;T;A;Solidago_gigantea;Agrostis;N;9;4,7
3;8;T;A;Solidago_gigantea;Centaurea;N;220,3;140,9
3;8;T;A;Solidago_gigantea;Plantago;N;44,2;23,1
3;8;T;A;Solidago_gigantea;Ranunculus;N;0;0
1;16;T;A;Solidago_gigantea;Invasive;I;396,2;162,5
1;16;T;A;Solidago_gigantea;Agrostis;N;0,7;0,7
1;16;T;A;Solidago_gigantea;Centaurea;N;231,9;177,8
1;16;T;A;Solidago_gigantea;Plantago;N;109,8;58,6
1;16;T;A;Solidago_gigantea;Ranunculus;N;0;0
2;16;T;A;Solidago_gigantea;Invasive;I;613,6;194,1
2;16;T;A;Solidago_gigantea;Agrostis;N;166;75,2
2;16;T;A;Solidago_gigantea;Centaurea;N;211,9;147,6
2;16;T;A;Solidago_gigantea;Plantago;N;170;85,9
2;16;T;A;Solidago_gigantea;Ranunculus;N;0;0
3;16;T;A;Solidago_gigantea;Invasive;I;516,2;122,5
3;16;T;A;Solidago_gigantea;Agrostis;N;0;0
3;16;T;A;Solidago_gigantea;Centaurea;N;167,2;83,8
3;16;T;A;Solidago_gigantea;Plantago;N;284;67,4
3;16;T;A;Solidago_gigantea;Ranunculus;N;0;0
1;32;T;A;Solidago_gigantea;Invasive;I;271,7;60,8
1;32;T;A;Solidago_gigantea;Agrostis;N;0;0
1;32;T;A;Solidago_gigantea;Centaurea;N;251,8;137,2
1;32;T;A;Solidago_gigantea;Plantago;N;0;0
1;32;T;A;Solidago_gigantea;Ranunculus;N;0;0
2;32;T;A;Solidago_gigantea;Invasive;I;159,2;30,1
2;32;T;A;Solidago_gigantea;Agrostis;N;141,5;38,6
2;32;T;A;Solidago_gigantea;Centaurea;N;60,4;22,1
2;32;T;A;Solidago_gigantea;Plantago;N;344,4;162,2
2;32;T;A;Solidago_gigantea;Ranunculus;N;53,7;35,2
3;32;T;A;Solidago_gigantea;Invasive;I;460,1;129,8
3;32;T;A;Solidago_gigantea;Agrostis;N;220,2;86
3;32;T;A;Solidago_gigantea;Centaurea;N;474,1;380
